time;X_value;Y_value;Z_value
1,2601;-5,38486;-6,96264;2,83234
1,2615;-5,53091;-7,02489;2,96881
1,2635;-5,59315;-7,1422;3,02627
1,2657;-5,73681;-7,24755;3,12922
1,2676;-5,81581;-7,29543;3,17471
1,2723;-6,10312;-7,44627;3,33512
1,2724;-6,10312;-7,44627;3,33512
1,2729;-6,15819;-7,47979;3,37343
1,275;-6,21086;-7,52767;3,44765
1,2769;-6,23001;-7,57555;3,52187
1,2805;-6,20128;-7,61625;3,57215
1,2813;-6,17973;-7,64738;3,57454
1,2835;-6,14861;-7,69047;3,58173
1,2856;-6,06242;-7,77188;3,5937
1,2875;-5,97144;-7,87243;3,57933
1,2924;-5,86609;-8,09031;3,57454
1,2924;-5,84455;-8,16932;3,56975
1,2931;-5,83257;-8,24114;3,56497
1,2961;-5,823;-8,31536;3,55539
1,2974;-5,83497;-8,48056;3,54581
1,3009;-5,87328;-8,59788;3,56018
1,3015;-5,9068;-8,64816;3,56257
1,3037;-6,03848;-8,75111;3,553
1,3053;-6,13424;-8,7966;3,55539
1,3075;-6,38085;-8,91391;3,49075
1,3126;-7,01531;-9,16051;3,31597
1,3126;-7,01531;-9,16051;3,31597
1,3132;-7,19966;-9,22037;3,26809
1,3156;-7,38641;-9,28741;3,2226
1,3176;-7,74315;-9,39993;3,16274
1,3204;-8,052;-9,50289;3,17232
